target_id,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
lcl|NC_003911.12_cds_WP_011046849.1_1117,0.000260903,0.000293591,13.3320838,0.725125628,1,6.422395784,0.055778894,0.002278167,0.053500727,0.147677511,0.147677511
lcl|NC_003911.12_cds_WP_144084024.1_3316,0.000261513,0.000294202,13.32770634,0.592948539,1,6.237547968,0.045611426,0.002594772,0.043016654,0.186317837,0.186317837
lcl|NC_003911.12_cds_WP_011045879.1_108,0.000261831,0.000294484,13.32543203,1.271746962,1,7.0970281,0.097826689,0.001029779,0.09679691,0.107795649,0.107795649
lcl|NC_003911.12_cds_WP_044028335.1_2295,0.000263912,0.000296749,13.31058581,5.717663483,1,5.585197677,0.439820268,0.010633888,0.42918638,0.322621821,0.42918638
lcl|NC_003911.12_cds_WP_044028009.1_1212,0.000264636,0.000297488,13.30544822,3.659013675,1,5.137136246,0.28146259,0.01441264,0.26704995,0.408639526,0.408639526
lcl|NC_003911.12_cds_WP_011049119.1_3480,0.000265722,0.000298632,13.29777202,0.172536816,1,7.043376974,0.013272063,0.001188169,0.012083894,0.103869821,0.103869821
lcl|NC_003911.12_cds_WP_011049216.1_3583,0.000268209,0.00030135,13.28030563,0.247456695,1,7.050540523,0.01903513,0.001118259,0.017916871,0.104309823,0.104309823
lcl|NC_003911.12_cds_WP_011045937.1_170,0.000269635,0.000302876,13.27035983,0.269934706,1,6.570950507,0.020764208,0.001874864,0.018889344,0.124808848,0.124808848
lcl|NC_003911.12_cds_WP_011049413.1_3786,0.00027008,0.000303298,13.26727402,2.229540575,1,6.760374186,0.171503121,0.002076843,0.169426279,0.105940227,0.169426279
lcl|NC_003911.12_cds_WP_011047515.1_1821,0.000272489,0.000305925,13.25062714,10.16181046,1,5.008595162,0.781677728,0.021606116,0.760071612,0.430785717,0.760071612
lcl|NC_003911.12_cds_WP_011046943.1_1214,0.000272757,0.000306149,13.24878254,0.193272981,1,6.902918088,0.014867152,0.001488847,0.013378306,0.100828684,0.100828684
lcl|NC_003911.12_cds_WP_044027899.1_717,0.000274612,0.000308153,13.23607514,0.401887929,1,6.846194256,0.030914456,0.001460005,0.029454452,0.102147467,0.102147467
lcl|NC_003911.12_cds_WP_011047257.1_1545,0.00027527,0.000308813,13.23158875,3.067417062,1,6.908374938,0.235955159,0.001238413,0.234716745,0.100765726,0.234716745
lcl|NC_003911.12_cds_WP_011047876.1_2188,0.000275925,0.000309452,13.22713445,0.294930426,1,7.252006193,0.022686956,0.001146677,0.021540279,0.126270513,0.126270513
lcl|NC_003911.12_cds_WP_011047206.1_1494,0.000275981,0.000309452,13.22675893,7.604846719,1,6.52560299,0.584988209,0.004488893,0.580499316,0.132091202,0.580499316
lcl|NC_003911.12_cds_WP_011046015.1_249,0.000277873,0.000311494,13.21395399,0.498587863,1,7.084227116,0.038352913,0.001071183,0.037281729,0.106729573,0.106729573
lcl|NC_003911.12_cds_WP_011048507.1_2854,0.000280797,0.000314673,13.19433076,0.875599645,1,6.307992873,0.067353819,0.002840128,0.06451369,0.170226707,0.170226707
lcl|NC_003911.12_cds_WP_011048358.1_2699,0.000280851,0.000314673,13.19397438,0.404106295,1,6.900207585,0.0310851,0.001314956,0.029770144,0.100864469,0.100864469
lcl|NC_003911.12_cds_WP_044028133.1_1692,0.000281332,0.000315131,13.19076781,0.523035323,1,6.611028625,0.040233486,0.001829081,0.038404406,0.11885453,0.11885453
lcl|NC_003911.12_cds_WP_011047065.1_1349,0.000282147,0.000315965,13.18534215,4.199777728,1,5.436024076,0.323059825,0.009356154,0.313703671,0.352377046,0.352377046
lcl|NC_003911.12_cds_WP_044027893.1_671,0.000284081,0.00031805,13.17253978,5.95528023,1,6.510433244,0.458098479,0.003982475,0.454116004,0.134538503,0.454116004
lcl|NC_003911.12_cds_SPO_RS22835_1648,0.000284519,0.00031846,13.16965264,5.003241644,1,3.856348838,0.384864742,0.107387691,0.277477051,0.53543396,0.53543396
lcl|NC_003911.12_cds_WP_011047133.1_1421,0.000285654,0.000319648,13.16219708,0.961312286,1,6.789457391,0.073947099,0.001910036,0.072037063,0.104464707,0.104464707
lcl|NC_003911.12_cds_WP_011047276.1_1565,0.000286018,0.000319974,13.15981031,9.941012177,1,6.381393495,0.764693244,0.004981984,0.75971126,0.154893046,0.75971126
lcl|NC_003911.12_cds_WP_011047914.1_2226,0.000287527,0.000321581,13.14994912,12.0009983,1,5.759491587,0.923153715,0.011335537,0.911818178,0.287218453,0.911818178
