"","geneNames","feature","id","fc","pval","qval","mean"
"330","SPO2463.t01","gene","MSTRG.1924",0.444007377974374,0.00877618599252328,0.0673450383454043,22.2329457142857
"331","SPO2464.t01","gene","MSTRG.1925",1.4419693725952,0.0269142347649856,0.11423903744677,96.3816122857143
"332","SPO2465.t01","gene","MSTRG.1926",0.335905369488096,0.0239610710522086,0.107922487144119,80.784476
"333","SPO2467.t01","gene","MSTRG.1928",1.52338668814078,0.0307844183007724,0.120918303382648,124.422214857143
"334","SPO2469.t01","gene","MSTRG.1930",1.90921578571393,0.00607289099990183,0.0568174659085442,100.1182675
"335","SPO2475.t01","gene","MSTRG.1934",1.43097840541885,0.0217860257155086,0.104365137640045,155.131990785714
"336","SPO2476.t01","gene","MSTRG.1935",1.41617460983707,0.000369235761902287,0.0260429053341719,113.835268571429
"337","SPO0271.t01","gene","MSTRG.194",0.49427291837888,0.0460883683798854,0.146118683382644,1309.28719007143
"338","SPO2481.t01","gene","MSTRG.1940",0.463934415213485,0.0377054396674898,0.132268288357385,78.4625174285714
"339","SPO2485.t01","gene","MSTRG.1944",1.40792597214624,0.0473146100655382,0.147691085091581,137.8741345
"340","SPO2486.t01","gene","MSTRG.1945",0.500463248059182,0.0334345384820978,0.125413995104934,77.9292390714286
"341","SPO2488.t01","gene","MSTRG.1947",1.54211379198809,0.0183060307668974,0.0954751647725132,155.547508142857
"342","SPO0272.t01","gene","MSTRG.195",0.481398154058463,0.0340786989019939,0.126365645257393,1457.08806278571
"343","SPO2500.t01","gene","MSTRG.1959",1.40883817663981,0.00714587443880377,0.0619840139986689,184.04393890838
"344","SPO2505.t01","gene","MSTRG.1960",1.85081306518259,0.00188561121934749,0.0398140203320824,133.005907357143
"345","SPO2509.t01","gene","MSTRG.1964",1.3908146064475,0.0410002920155111,0.137845809362494,138.176992642857
"346","SPO2511.t01","gene","MSTRG.1966",0.555258641487747,0.0384647393666433,0.133103301581561,714.359710785714
"347","SPO2527.t01","gene","MSTRG.1979",0.592709604499802,0.00846036539894968,0.066146488909241,87.9975342857143
"348","SPO0275.t01","gene","MSTRG.198",2.02276383171883,0.00211152370203138,0.0406092142078592,107.037630428571
"349","SPO2529.t01","gene","MSTRG.1981",0.40359503664746,0.00190252786753398,0.0399169612713616,82.6763344132381
"350","SPO2532.t01","gene","MSTRG.1982",0.547513368462637,0.00074632688398224,0.0305848151333766,86.7270426784026
"351","SPO2535.t01","gene","MSTRG.1984",0.23030689798423,0.000590898512703442,0.0295564219409884,82.7433015
"352","SPO2538.t01","gene","MSTRG.1987",0.468559082978687,0.0021629040816854,0.0412031138268441,81.7912267857143
